Edad,Nivel_Educativo,Experiencia_Anios,Industria,Ubicación,Género,Horas_Semanales,Sueldo_Anual
41,Licenciatura,22,Manufactura,Latinoamérica,Masculino,39,53409.67
25,Licenciatura,5,Retail,EE.UU.,Masculino,57,63431.27
61,Bachillerato,37,Manufactura,Latinoamérica,Masculino,51,59302.08
57,Licenciatura,35,Educación,Asia,Masculino,55,65130.83
23,Bachillerato,1,Manufactura,Europa,Femenino,55,39712.1
52,Máster,32,Retail,Latinoamérica,Otro,31,56563.06
44,Bachillerato,25,Tecnología,Europa,Masculino,36,111745.65
36,Licenciatura,14,Finanzas,Asia,Masculino,60,74997.24
42,Licenciatura,17,Salud,EE.UU.,Masculino,35,115669.61
26,Licenciatura,2,Manufactura,Asia,Femenino,37,40352.84
35,Máster,12,Salud,EE.UU.,Masculino,37,120077.68
50,Licenciatura,27,Salud,Europa,Otro,54,137978.46
49,Máster,29,Educación,Latinoamérica,Otro,48,59622.16
44,Máster,21,Tecnología,Europa,Femenino,58,143823.77
37,Licenciatura,13,Tecnología,Latinoamérica,Masculino,59,48711.21
59,Doctorado,36,Tecnología,Latinoamérica,Otro,44,107389.88
56,Licenciatura,37,Tecnología,EE.UU.,Masculino,42,194695.07
35,Bachillerato,13,Retail,Asia,Otro,52,30612.59
42,Bachillerato,22,Manufactura,Europa,Masculino,51,89107.31
34,Licenciatura,12,Tecnología,EE.UU.,Otro,36,121151.62
33,Bachillerato,8,Tecnología,Latinoamérica,Femenino,45,32869.2
28,Licenciatura,5,Salud,Latinoamérica,Masculino,46,35907.38
50,Máster,26,Salud,EE.UU.,Otro,30,178651.54
49,Bachillerato,24,Manufactura,Asia,Femenino,54,51294.67
46,Máster,24,Retail,EE.UU.,Femenino,49,88233.95
47,Doctorado,24,Tecnología,EE.UU.,Otro,56,204377.99
44,Licenciatura,20,Salud,EE.UU.,Otro,38,125694.04
60,Licenciatura,39,Tecnología,Europa,Otro,54,147843.7
49,Licenciatura,26,Retail,Asia,Masculino,37,60847.04
41,Bachillerato,21,Manufactura,Europa,Femenino,55,87853.29
48,Licenciatura,26,Retail,Asia,Otro,32,59037.63
47,Licenciatura,27,Tecnología,Latinoamérica,Masculino,44,69659.15
56,Doctorado,34,Manufactura,Asia,Masculino,57,90795.1
23,Doctorado,0,Tecnología,Latinoamérica,Femenino,41,46709.72
51,Licenciatura,30,Retail,Europa,Masculino,52,78101.54
29,Licenciatura,9,Salud,EE.UU.,Femenino,37,94131.83
48,Licenciatura,29,Tecnología,Asia,Masculino,58,83296.69
63,Licenciatura,43,Tecnología,Europa,Femenino,36,175175.93
35,Licenciatura,15,Educación,Asia,Otro,54,50953.01
47,Licenciatura,28,Finanzas,Latinoamérica,Masculino,31,70988.66
63,Licenciatura,45,Finanzas,Asia,Femenino,58,120239.52
35,Licenciatura,15,Educación,Asia,Otro,45,43416.09
35,Licenciatura,17,Educación,EE.UU.,Femenino,37,91171.1
46,Máster,27,Educación,Europa,Masculino,47,105131.06
54,Licenciatura,34,Educación,EE.UU.,Otro,49,132050.1
61,Máster,38,Educación,Latinoamérica,Femenino,42,67452.71
38,Licenciatura,15,Manufactura,EE.UU.,Otro,35,86407.97
63,Licenciatura,40,Salud,Asia,Otro,30,119205.5
56,Bachillerato,36,Tecnología,Europa,Masculino,58,143082.75
28,Licenciatura,8,Tecnología,Europa,Masculino,37,87103.77
30,Bachillerato,7,Tecnología,Europa,Masculino,39,68037.09
51,Licenciatura,30,Manufactura,Latinoamérica,Femenino,52,57876.37
49,Licenciatura,27,Retail,Latinoamérica,Otro,51,39618.42
43,Licenciatura,24,Tecnología,Asia,Femenino,49,78996.6
47,Licenciatura,26,Finanzas,Europa,Masculino,36,125918.06
39,Licenciatura,19,Tecnología,Latinoamérica,Otro,48,63223.28
64,Licenciatura,39,Tecnología,Latinoamérica,Femenino,31,100721.22
41,Máster,21,Tecnología,Latinoamérica,Masculino,58,78143.31
24,Doctorado,0,Manufactura,Latinoamérica,Otro,37,46727.94
47,Licenciatura,23,Retail,Asia,Otro,60,46533.4
35,Máster,13,Manufactura,Asia,Otro,58,56739.67
34,Doctorado,14,Salud,Asia,Otro,55,78811.5
34,Licenciatura,11,Finanzas,EE.UU.,Otro,36,121940.1
44,Máster,22,Salud,Latinoamérica,Otro,55,77034.3
32,Licenciatura,8,Finanzas,EE.UU.,Masculino,40,104212.34
23,Licenciatura,0,Educación,EE.UU.,Masculino,55,59293.82
28,Máster,6,Educación,Latinoamérica,Masculino,30,39150.02
38,Doctorado,16,Retail,Latinoamérica,Femenino,43,42946.89
29,Licenciatura,11,Tecnología,Europa,Otro,32,101217.66
64,Máster,44,Salud,Asia,Femenino,44,128221.86
35,Bachillerato,16,Tecnología,Latinoamérica,Otro,45,53556.98
57,Doctorado,35,Tecnología,EE.UU.,Femenino,40,219170.41
60,Máster,42,Tecnología,Latinoamérica,Otro,55,96522.78
33,Licenciatura,10,Finanzas,EE.UU.,Femenino,35,102057.91
64,Bachillerato,39,Manufactura,Asia,Otro,59,67901.57
56,Bachillerato,31,Salud,Latinoamérica,Otro,41,68536.62
29,Máster,8,Tecnología,EE.UU.,Femenino,39,137850.45
49,Licenciatura,24,Salud,Asia,Femenino,35,93522.31
49,Licenciatura,25,Manufactura,Europa,Femenino,34,93547.81
24,Licenciatura,2,Finanzas,Asia,Otro,38,60504.53
56,Licenciatura,32,Salud,Asia,Otro,32,95192.63
54,Licenciatura,31,Salud,Europa,Masculino,48,150412.26
56,Licenciatura,36,Manufactura,Latinoamérica,Otro,45,74896.67
40,Licenciatura,20,Retail,EE.UU.,Otro,33,80771.56
58,Licenciatura,34,Salud,Europa,Femenino,59,142997.43
56,Licenciatura,34,Salud,Europa,Otro,55,139195.25
30,Bachillerato,12,Manufactura,Europa,Femenino,53,59289.07
45,Bachillerato,27,Salud,EE.UU.,Masculino,53,142707.21
35,Doctorado,12,Educación,Asia,Femenino,47,71150.41
30,Licenciatura,12,Salud,EE.UU.,Otro,39,88882.42
61,Licenciatura,38,Manufactura,Latinoamérica,Femenino,45,58390.18
58,Licenciatura,38,Manufactura,Europa,Otro,47,134475.39
26,Bachillerato,3,Educación,Latinoamérica,Femenino,41,18927.62
59,Licenciatura,37,Retail,Europa,Femenino,37,87625.67
29,Bachillerato,4,Finanzas,Europa,Otro,52,62819.82
33,Licenciatura,13,Educación,Asia,Masculino,53,41231.38
55,Máster,30,Salud,Europa,Otro,51,150328.56
45,Máster,23,Finanzas,Europa,Femenino,46,139958.37
60,Máster,37,Educación,Latinoamérica,Masculino,51,76293.82
63,Licenciatura,42,Educación,Asia,Otro,32,95404.81
64,Máster,45,Tecnología,Europa,Masculino,46,216507.99
47,Máster,22,Salud,Latinoamérica,Otro,45,77288.5
31,Máster,10,Tecnología,Latinoamérica,Femenino,55,56006.3
59,Bachillerato,37,Tecnología,Asia,Femenino,38,88615.42
65,Licenciatura,45,Manufactura,Asia,Otro,52,109478.03
52,Doctorado,29,Educación,Latinoamérica,Femenino,51,74707.88
50,Máster,26,Finanzas,EE.UU.,Femenino,43,170013.3
37,Bachillerato,13,Educación,EE.UU.,Otro,46,70730.55
24,Doctorado,0,Salud,Asia,Femenino,49,60691.36
53,Máster,35,Tecnología,Asia,Otro,48,119091.98
25,Bachillerato,0,Manufactura,Europa,Femenino,55,40003.02
37,Licenciatura,14,Salud,Asia,Masculino,53,63603.07
25,Doctorado,6,Finanzas,EE.UU.,Masculino,34,127319.83
39,Máster,17,Salud,Europa,Femenino,59,128651.98
45,Bachillerato,21,Retail,Asia,Femenino,55,50678.89
64,Licenciatura,44,Tecnología,Latinoamérica,Otro,41,96041.87
60,Licenciatura,35,Salud,Asia,Femenino,43,111288.72
34,Máster,11,Educación,EE.UU.,Otro,57,101103.59
28,Máster,7,Tecnología,Asia,Femenino,49,76289.4
23,Máster,0,Salud,EE.UU.,Masculino,60,77493.1
27,Licenciatura,8,Retail,EE.UU.,Femenino,48,61452.35
58,Bachillerato,38,Educación,Latinoamérica,Femenino,54,46713.4
45,Licenciatura,24,Retail,Europa,Femenino,55,74781.32
54,Licenciatura,34,Salud,Asia,Masculino,31,103507.75
62,Bachillerato,38,Retail,EE.UU.,Masculino,41,110207.81
24,Máster,1,Manufactura,Asia,Otro,54,43312.43
29,Bachillerato,11,Tecnología,Europa,Femenino,40,86737.87
34,Bachillerato,9,Tecnología,Europa,Otro,32,82568.77
38,Bachillerato,18,Educación,Asia,Otro,48,50968.15
39,Máster,16,Tecnología,Asia,Otro,44,90162.61
33,Licenciatura,11,Salud,Latinoamérica,Femenino,51,52273.18
34,Licenciatura,11,Finanzas,Asia,Masculino,59,73856.06
45,Licenciatura,22,Manufactura,Asia,Femenino,59,65680.56
51,Bachillerato,28,Salud,EE.UU.,Masculino,60,139825.85
53,Licenciatura,32,Retail,Asia,Masculino,43,62288.79
30,Licenciatura,10,Finanzas,Asia,Otro,39,68594.52
30,Licenciatura,6,Manufactura,Europa,Otro,32,63200.76
42,Máster,20,Manufactura,Latinoamérica,Otro,47,61035.21
50,Licenciatura,30,Educación,Latinoamérica,Otro,37,57285.66
30,Máster,11,Educación,Asia,Otro,43,47692.77
60,Licenciatura,40,Salud,Latinoamérica,Otro,40,90693.35
37,Bachillerato,18,Retail,Europa,Femenino,60,58107.0
51,Licenciatura,32,Retail,Europa,Masculino,40,102095.14
22,Licenciatura,4,Salud,Latinoamérica,Femenino,36,33060.75
34,Licenciatura,9,Finanzas,Europa,Otro,50,88845.01
64,Licenciatura,46,Educación,Europa,Otro,32,116390.94
65,Máster,43,Manufactura,Latinoamérica,Otro,33,83536.43
26,Bachillerato,8,Retail,Asia,Femenino,42,27634.9
39,Licenciatura,18,Educación,Europa,Femenino,31,81441.85
49,Máster,25,Retail,EE.UU.,Femenino,55,115207.93
32,Licenciatura,7,Retail,Europa,Otro,34,55144.45
32,Bachillerato,8,Tecnología,Latinoamérica,Otro,35,40731.97
27,Máster,2,Tecnología,EE.UU.,Masculino,43,89122.67
22,Licenciatura,1,Finanzas,Latinoamérica,Femenino,42,41380.97
34,Máster,15,Finanzas,EE.UU.,Femenino,59,139717.77
63,Licenciatura,41,Salud,Asia,Femenino,60,118915.9
60,Licenciatura,39,Salud,Asia,Femenino,56,114632.78
39,Licenciatura,16,Tecnología,EE.UU.,Otro,46,125838.75
50,Licenciatura,26,Salud,Latinoamérica,Otro,44,66283.51
51,Máster,29,Manufactura,Asia,Femenino,51,78375.61
24,Máster,0,Educación,Asia,Femenino,31,45898.37
50,Licenciatura,32,Educación,Europa,Masculino,59,108682.47
45,Licenciatura,21,Finanzas,Latinoamérica,Otro,52,60159.02
58,Licenciatura,39,Finanzas,Latinoamérica,Femenino,35,91153.97
31,Bachillerato,6,Finanzas,Latinoamérica,Masculino,35,41408.88
41,Licenciatura,23,Tecnología,Latinoamérica,Femenino,58,64145.99
62,Licenciatura,41,Educación,EE.UU.,Masculino,53,156479.15
61,Licenciatura,37,Finanzas,Latinoamérica,Femenino,56,89317.69
61,Doctorado,37,Manufactura,Asia,Otro,42,116515.39
56,Licenciatura,37,Educación,Latinoamérica,Masculino,53,61411.89
60,Licenciatura,37,Salud,Latinoamérica,Femenino,36,76528.09
59,Licenciatura,38,Salud,EE.UU.,Masculino,44,172058.42
44,Licenciatura,24,Salud,Asia,Femenino,31,78574.08
40,Bachillerato,16,Salud,Europa,Femenino,33,74144.37
65,Máster,40,Retail,Latinoamérica,Masculino,35,56085.52
22,Licenciatura,0,Manufactura,Europa,Otro,34,47967.88
22,Bachillerato,1,Retail,Asia,Femenino,52,25735.86
37,Licenciatura,13,Finanzas,Latinoamérica,Femenino,35,57081.92
61,Bachillerato,36,Retail,EE.UU.,Femenino,55,90899.04
58,Máster,36,Manufactura,Asia,Otro,38,83144.43
46,Máster,24,Educación,Latinoamérica,Masculino,43,46742.34
49,Licenciatura,27,Finanzas,Latinoamérica,Masculino,31,74413.06
49,Bachillerato,25,Tecnología,Asia,Masculino,40,82520.82
35,Máster,15,Tecnología,Latinoamérica,Otro,40,74089.48
61,Máster,43,Educación,Europa,Femenino,34,123095.42
44,Bachillerato,21,Retail,Asia,Femenino,42,44003.86
28,Licenciatura,5,Educación,Latinoamérica,Masculino,30,25650.45
43,Licenciatura,18,Salud,Latinoamérica,Femenino,38,61918.21
24,Licenciatura,0,Retail,Europa,Femenino,41,43216.06
54,Licenciatura,32,Tecnología,Asia,Masculino,58,92508.91
43,Bachillerato,19,Retail,EE.UU.,Femenino,48,63060.09
59,Licenciatura,35,Manufactura,Europa,Femenino,31,108826.28
34,Licenciatura,13,Retail,Latinoamérica,Otro,35,32162.82
26,Máster,1,Retail,Asia,Masculino,57,38395.27
46,Máster,22,Manufactura,Asia,Masculino,60,72777.51
63,Licenciatura,39,Salud,EE.UU.,Femenino,56,175504.8
62,Licenciatura,38,Finanzas,EE.UU.,Femenino,37,192441.06
24,Bachillerato,3,Tecnología,EE.UU.,Femenino,30,66687.47
31,Máster,8,Salud,Asia,Femenino,45,73234.93
32,Bachillerato,10,Manufactura,Latinoamérica,Masculino,47,29589.86
62,Máster,39,Retail,Latinoamérica,Masculino,51,57868.95
35,Máster,11,Tecnología,Europa,Masculino,40,103696.96
59,Máster,35,Educación,Europa,Femenino,46,129025.66
37,Licenciatura,14,Finanzas,Asia,Femenino,57,86060.54
52,Doctorado,27,Tecnología,Europa,Femenino,60,174561.89
53,Licenciatura,33,Finanzas,Asia,Masculino,60,100807.06
47,Máster,25,Salud,Asia,Femenino,56,90317.13
40,Bachillerato,15,Tecnología,Asia,Femenino,49,69110.54
64,Licenciatura,41,Salud,EE.UU.,Masculino,48,201720.15
51,Máster,29,Finanzas,Asia,Masculino,52,131714.27
38,Bachillerato,15,Salud,Asia,Masculino,30,57039.49
34,Licenciatura,12,Tecnología,Asia,Femenino,40,64921.56
31,Licenciatura,11,Tecnología,EE.UU.,Femenino,51,107509.95
61,Máster,37,Manufactura,Europa,Otro,59,116959.73
34,Bachillerato,16,Manufactura,EE.UU.,Femenino,58,90716.51
28,Máster,6,Retail,EE.UU.,Femenino,39,75407.03
29,Doctorado,10,Tecnología,EE.UU.,Otro,53,163274.71
59,Licenciatura,34,Finanzas,EE.UU.,Otro,44,202040.04
65,Máster,40,Retail,Asia,Femenino,51,77045.38
38,Licenciatura,14,Educación,EE.UU.,Otro,54,86615.49
41,Licenciatura,23,Finanzas,Latinoamérica,Otro,45,63741.78
27,Máster,6,Educación,Latinoamérica,Masculino,35,35531.39
44,Máster,22,Manufactura,EE.UU.,Femenino,43,128159.62
26,Licenciatura,6,Educación,Asia,Otro,52,41437.83
46,Licenciatura,25,Manufactura,Latinoamérica,Masculino,38,54149.27
63,Doctorado,41,Salud,EE.UU.,Femenino,48,201168.2
37,Licenciatura,14,Salud,Europa,Otro,39,89135.26
50,Licenciatura,29,Finanzas,Europa,Otro,33,162977.14
30,Licenciatura,5,Educación,Asia,Femenino,54,36355.44
47,Licenciatura,27,Retail,EE.UU.,Femenino,39,83686.24
56,Licenciatura,37,Manufactura,Asia,Femenino,53,82694.63
26,Doctorado,1,Retail,Europa,Femenino,30,71444.93
23,Máster,0,Finanzas,Latinoamérica,Masculino,35,44585.62
64,Máster,39,Retail,Asia,Masculino,47,71119.13
60,Licenciatura,37,Educación,Asia,Otro,36,71325.06
38,Licenciatura,16,Finanzas,Latinoamérica,Femenino,49,58839.84
47,Bachillerato,29,Manufactura,Latinoamérica,Femenino,47,45853.02
35,Doctorado,10,Retail,Europa,Femenino,44,86693.34
35,Licenciatura,14,Salud,EE.UU.,Otro,58,95805.59
48,Licenciatura,26,Tecnología,Europa,Masculino,39,145087.3
40,Licenciatura,15,Retail,Latinoamérica,Masculino,59,39605.39
24,Licenciatura,5,Tecnología,Asia,Otro,60,52386.06
29,Máster,5,Tecnología,Europa,Femenino,42,95157.01
64,Licenciatura,42,Manufactura,EE.UU.,Femenino,41,143206.51
40,Licenciatura,20,Finanzas,Europa,Masculino,55,128122.2
32,Máster,10,Finanzas,Latinoamérica,Masculino,49,60200.71
37,Máster,13,Salud,Latinoamérica,Otro,33,53008.39
59,Licenciatura,35,Manufactura,EE.UU.,Femenino,43,139042.81
55,Bachillerato,37,Salud,Latinoamérica,Otro,47,68202.89
22,Máster,0,Educación,EE.UU.,Femenino,55,67887.58
46,Bachillerato,26,Manufactura,Latinoamérica,Otro,32,43630.78
43,Licenciatura,22,Salud,EE.UU.,Femenino,35,118372.07
47,Bachillerato,22,Retail,Asia,Otro,35,43758.33
41,Máster,23,Manufactura,Asia,Masculino,60,71409.11
27,Máster,8,Retail,Latinoamérica,Femenino,59,29528.41
48,Licenciatura,24,Finanzas,Latinoamérica,Femenino,47,70333.63
61,Doctorado,38,Manufactura,Latinoamérica,Femenino,58,80404.21
52,Bachillerato,30,Salud,EE.UU.,Masculino,54,140710.65
64,Bachillerato,45,Tecnología,Latinoamérica,Femenino,50,89138.14
57,Bachillerato,32,Manufactura,Asia,Femenino,38,74342.69
38,Licenciatura,17,Manufactura,Latinoamérica,Otro,39,46374.69
37,Licenciatura,13,Educación,Asia,Otro,31,51489.26
56,Licenciatura,38,Manufactura,EE.UU.,Masculino,36,130570.93
58,Máster,35,Educación,Latinoamérica,Femenino,58,62464.77
59,Doctorado,36,Finanzas,Asia,Otro,58,124641.66
25,Bachillerato,7,Retail,EE.UU.,Femenino,51,45224.85
43,Bachillerato,24,Finanzas,Europa,Masculino,36,104520.22
37,Licenciatura,19,Retail,Europa,Masculino,58,80322.26
65,Licenciatura,41,Finanzas,EE.UU.,Femenino,30,193645.71
24,Licenciatura,0,Tecnología,Europa,Masculino,48,67297.47
30,Máster,8,Educación,Latinoamérica,Masculino,40,35446.29
29,Licenciatura,9,Educación,Latinoamérica,Otro,44,31464.55
31,Bachillerato,9,Manufactura,Europa,Otro,40,59574.5
39,Bachillerato,15,Finanzas,Europa,Masculino,50,89760.17
59,Licenciatura,41,Retail,Latinoamérica,Masculino,44,59681.15
41,Bachillerato,18,Salud,Asia,Masculino,36,55280.14
53,Máster,35,Manufactura,Europa,Femenino,41,134190.65
24,Máster,1,Tecnología,Europa,Otro,41,77803.69
50,Licenciatura,29,Educación,Asia,Femenino,36,60306.02
62,Licenciatura,44,Educación,Asia,Otro,48,78998.73
65,Máster,43,Salud,Latinoamérica,Masculino,55,87522.08
53,Bachillerato,30,Salud,Europa,Masculino,30,118115.35
38,Licenciatura,20,Manufactura,EE.UU.,Masculino,51,107821.47
22,Máster,1,Salud,Europa,Masculino,31,84992.88
59,Bachillerato,39,Tecnología,EE.UU.,Otro,47,188645.52
28,Licenciatura,6,Salud,Europa,Femenino,48,70124.78
27,Licenciatura,2,Retail,Europa,Femenino,51,40379.87
48,Licenciatura,28,Finanzas,EE.UU.,Masculino,52,178040.73
28,Licenciatura,5,Finanzas,Asia,Masculino,30,57408.15
55,Máster,30,Finanzas,Europa,Femenino,55,147716.41
33,Licenciatura,12,Educación,EE.UU.,Femenino,58,66660.47
46,Máster,28,Manufactura,Latinoamérica,Otro,43,66683.83
56,Máster,36,Manufactura,Europa,Femenino,58,148350.62
64,Bachillerato,40,Finanzas,Latinoamérica,Femenino,42,88167.23
39,Licenciatura,16,Salud,Latinoamérica,Femenino,39,59119.19
45,Licenciatura,26,Educación,Europa,Femenino,58,81791.38
63,Licenciatura,43,Educación,EE.UU.,Otro,59,151802.73
46,Bachillerato,23,Manufactura,Europa,Masculino,52,91789.03
41,Bachillerato,22,Tecnología,Europa,Femenino,46,113388.93
52,Licenciatura,32,Salud,Asia,Otro,34,92889.52
63,Licenciatura,42,Educación,EE.UU.,Otro,31,141505.6
61,Licenciatura,39,Educación,Latinoamérica,Masculino,47,66381.55
25,Doctorado,0,Educación,Latinoamérica,Otro,39,39889.66
22,Doctorado,0,Educación,EE.UU.,Otro,32,83719.11
62,Bachillerato,41,Manufactura,EE.UU.,Otro,42,130411.51
26,Máster,8,Tecnología,Europa,Otro,53,99519.66
22,Máster,1,Tecnología,EE.UU.,Femenino,58,85642.59
41,Licenciatura,23,Educación,Asia,Femenino,54,55179.71
41,Licenciatura,20,Retail,EE.UU.,Masculino,52,76517.11
27,Bachillerato,6,Finanzas,Europa,Femenino,33,65336.82
57,Bachillerato,35,Finanzas,Europa,Otro,37,128899.07
44,Licenciatura,25,Finanzas,Asia,Masculino,47,92011.75
31,Licenciatura,13,Salud,Latinoamérica,Femenino,37,48233.04
43,Licenciatura,24,Educación,Latinoamérica,Otro,57,53382.43
35,Bachillerato,14,Finanzas,Europa,Femenino,40,98982.28
51,Licenciatura,29,Salud,EE.UU.,Otro,33,171507.7
47,Máster,28,Finanzas,Europa,Masculino,35,163829.68
30,Máster,10,Retail,Latinoamérica,Femenino,55,41004.73
64,Licenciatura,39,Finanzas,EE.UU.,Otro,49,203815.72
43,Licenciatura,19,Finanzas,Asia,Otro,56,81556.9
55,Bachillerato,31,Tecnología,EE.UU.,Femenino,56,151331.29
46,Bachillerato,23,Educación,EE.UU.,Femenino,54,82979.92
50,Máster,31,Educación,Asia,Otro,56,88163.17
41,Máster,16,Tecnología,Europa,Otro,53,134934.91
51,Máster,26,Manufactura,EE.UU.,Otro,60,139416.75
55,Licenciatura,30,Educación,EE.UU.,Otro,43,115726.61
55,Licenciatura,32,Salud,Latinoamérica,Femenino,50,83037.35
64,Licenciatura,45,Finanzas,Latinoamérica,Otro,36,97048.81
46,Licenciatura,26,Tecnología,Asia,Masculino,45,85968.88
27,Licenciatura,3,Finanzas,Latinoamérica,Masculino,51,48943.38
53,Licenciatura,31,Retail,Asia,Femenino,57,57130.9
41,Bachillerato,22,Manufactura,EE.UU.,Otro,30,92059.91
34,Licenciatura,11,Tecnología,Latinoamérica,Femenino,50,50488.65
61,Licenciatura,41,Salud,Latinoamérica,Masculino,47,78305.66
49,Licenciatura,31,Salud,Asia,Masculino,31,79508.64
30,Licenciatura,8,Educación,Latinoamérica,Otro,50,31717.87
47,Doctorado,27,Retail,Latinoamérica,Otro,41,47895.68
42,Máster,20,Finanzas,Europa,Otro,31,156757.45
33,Licenciatura,12,Salud,Asia,Otro,47,64261.47
59,Máster,38,Salud,EE.UU.,Masculino,33,213006.21
25,Bachillerato,7,Manufactura,Latinoamérica,Femenino,37,30523.84
55,Licenciatura,36,Manufactura,EE.UU.,Otro,48,147213.94
36,Máster,13,Finanzas,Latinoamérica,Otro,45,75031.75
49,Licenciatura,25,Tecnología,Europa,Femenino,49,149389.16
62,Doctorado,44,Finanzas,Latinoamérica,Masculino,34,128215.14
64,Licenciatura,44,Salud,Asia,Masculino,53,120922.9
56,Licenciatura,31,Salud,Europa,Masculino,41,119167.77
61,Doctorado,43,Salud,EE.UU.,Masculino,30,211462.52
26,Licenciatura,6,Tecnología,Asia,Masculino,51,49038.0
37,Doctorado,12,Salud,Europa,Femenino,45,129903.34
29,Bachillerato,9,Educación,EE.UU.,Femenino,48,51264.47
35,Máster,17,Salud,EE.UU.,Masculino,42,152534.35
48,Licenciatura,26,Educación,Europa,Femenino,36,100581.43
30,Máster,11,Salud,Europa,Masculino,50,92235.38
50,Bachillerato,31,Tecnología,Latinoamérica,Femenino,37,70348.1
50,Máster,26,Finanzas,Asia,Masculino,42,104217.81
42,Doctorado,21,Educación,EE.UU.,Masculino,37,122674.33
47,Licenciatura,23,Educación,Europa,Otro,55,87283.51
62,Máster,44,Manufactura,Latinoamérica,Otro,52,90180.95
28,Máster,8,Educación,Asia,Femenino,40,46672.59
39,Máster,21,Tecnología,Latinoamérica,Otro,51,74407.78
50,Licenciatura,32,Salud,EE.UU.,Femenino,42,147704.65
61,Licenciatura,42,Salud,EE.UU.,Masculino,47,194507.99
25,Licenciatura,3,Educación,Asia,Otro,44,32913.95
63,Licenciatura,45,Finanzas,EE.UU.,Masculino,45,241603.75
40,Licenciatura,21,Finanzas,Latinoamérica,Otro,44,74679.38
61,Bachillerato,43,Retail,EE.UU.,Otro,55,119323.24
47,Licenciatura,23,Educación,EE.UU.,Masculino,38,97112.73
54,Doctorado,31,Educación,Latinoamérica,Otro,48,69176.43
22,Licenciatura,2,Tecnología,Asia,Otro,30,54112.18
26,Bachillerato,6,Tecnología,EE.UU.,Masculino,36,67693.56
65,Máster,40,Finanzas,Europa,Masculino,54,190953.05
57,Doctorado,33,Salud,Europa,Otro,45,190798.97
65,Licenciatura,41,Retail,Europa,Masculino,44,103935.24
56,Licenciatura,38,Tecnología,Latinoamérica,Masculino,42,78269.84
48,Doctorado,26,Finanzas,EE.UU.,Otro,55,182755.07
38,Licenciatura,15,Salud,Europa,Femenino,58,111484.62
26,Máster,5,Salud,Asia,Otro,48,52853.19
28,Bachillerato,8,Finanzas,EE.UU.,Masculino,56,100993.36
53,Bachillerato,28,Educación,Latinoamérica,Femenino,59,42309.96
22,Máster,0,Finanzas,Europa,Femenino,55,97052.6
